en_HK,zh_HK
NGS Gut Microbiome Health Screening Test,NGS 腸道微生態健康檢測
NGS Gut Microbiome Health Screening Report,NGS 腸道微生態健康檢測報告
[day]/[month]/[year],[day]/[month]/[year]
Report Information,報告資料
User Name, 用戶姓名
Report ID,報告編號
Report Date,報告日期
Sample ID,樣品編號
Sex,用戶性別
Sample Quality,樣品質量等級
Date of Birth,出生日期
Sample Mass,樣品總質量
Testing Date,檢測日期
Testing Item,檢測項目
Report Introduction,報告介紹
Probiotics,益生菌
Commensal Bacteria,共生菌
Harmful Bacteria,有害菌
Bad,很差
Fair,較差
Average,中等
Good,良好
Excellent,優秀
Highly Deficient,嚴重缺乏
Slightly Deficient,輕微缺乏
Balanced,平衡
Slightly Overabundant,輕微過剩
Highly Overabundant,嚴重過剩
Elevated Risk,較高風險
Baseline Risk,正常風險
Bifidobacterium longum,長雙歧桿菌
Lactiplantibacillus plantarum,植物乳桿菌
Lactobacillus acidophilus,嗜酸乳桿菌
Lacticaseibacillus rhamnosus,鼠李糖乳桿菌
Lactobacillus fermentum,發酵乳桿菌
Lactobacillus reuteri,洛德乳桿菌
Bifidobacterium animalis,動物雙歧桿菌
Enterocloster bolteae,波爾特氏腸道梭狀菌
Escherichia coli,大腸桿菌
Klebsiella pneumoniae,肺炎克雷伯桿菌
Shigella flexneri,弗氏志賀氏菌
Ruminococcus gnavus,活潑瘤胃球菌
Alistipes onderdonkii,奧氏另枝菌
Bacteroides cellulosilyticus,溶纖維擬桿菌
Bacteroides fragilis,脆弱擬桿菌
Bacteroides ovatus,卵形擬桿菌
Bacteroides vulgatus,多形擬桿菌
Bacteroides uniformis,單形擬桿菌
Bacteroides xylanisolvens,溶木聚糖擬桿菌
Lachnospira eligens,挑剔毛螺菌
Roseburia intestinalis,腸道羅斯氏菌
Parabacteroides distasonis,迪斯塔森副擬桿菌
Bacteroides dorei,多氏擬桿菌
Bacteroides eggerthii,埃氏擬桿菌
Phascolarctobacterium faecium,糞考拉桿菌
Bacteroides thetaiotaomicron,細菌擬桿菌
Faecalibacterium prausnitzii,直腸無桿菌
Akkermansia muciniphila,嗜黏蛋白阿克曼菌
Ruminococcus torques,托克斯瘤胃球菌
Collinsella aerofaciens,產氣柯林斯菌
Megamonas funiformis,單形巨單胞菌
Gut Health,腸道健康
Metabolism,代謝水平
Metabolic Disease,代謝疾病
Mental Disease,精神疾病
Mental Health,精神健康
Cognition,認知功能
Cognitive Disease,認知疾病
Autoimmunity Disease,自體免疫疾病
Autoimmunity,自體免疫
Gastrointestinal Disease,胃腸道疾病
IBS - Diarrhea,大腸激躁症-便祕型
IBS - Constipation,大腸激躁症-腹瀉型
Irritable Bowel Syndrome - Constipation,大腸激躁症 - 便祕型
Irritable Bowel Syndrome - Diarrhea,大腸激躁症 - 腹瀉型
Inflammatory Bowel Disease,炎症性腸病
IBD,炎症性腸病
Colorectal Cancer,大腸癌
Diabetes,糖尿病
NAFLD,非酒精性脂肪肝
Hormonal Imbalance,激素失調
Sleep Disorder,睡眠障礙
Anxiety,焦慮症
Depression,抑鬱症
Cognitive Impairment,認知障礙 
Alzheimer's Disease,阿茲海默症
Allergy,過敏性疾病
Eczema,濕疹
Superfood,超級食物
Enjoy,享受
Minimize,盡量減少
Report Introduction,報告介紹
Health Conditions Overview,健康情況總覽
Analysis Results of Microbiome,微生物組分析結果
Disease Risks Assessment,疾病風險評估
Personalised Nutrition Guidelines,個人化營養膳食指南
Appendix,附錄